Aluminum Foil,$2.97 ,90 sq ft
Apple Juice,$2.68 ,96 fl oz
Apple Sauce,$1.98 ,48 oz
"Apples, Gala, bag",$3.57 ,3 lbs
"Apples, Red/Golden Delicious (and/or other), bag",$5.57 ,5 lbs
Bacon,$3.50 ,16 oz
"Bagles, plain",$2.48 ,22 oz
"Baguette Rolls, frozen",,
Baguette/French Bread,$1.60 ,16 oz
Barbeque Sauce,$1.46 ,18 oz
Beef Stew Meat,$4.48 ,per lb
"Beer, bottle, pilsener, import",$8.47 ,6 pack
"Beer, cans",$19.97 ,30 pack
"Brats, 4-6 pack",$2.78 ,16 oz
Bread Crumbs,$1.08 ,15 oz
"Bread, 12-grain/multi-grain",$2.98 ,24 oz
"Breakfast Sausage, frozen",$1.14 ,7 oz
"Butter, real, unsalted/salted",$2.68 ,1 lb
"Carrots, whole",$1.48 ,2 lbs
"Cereal, Msli style",N/A,
Cheery Pie Filling,$2.28 ,21 oz
Cheese Singles (imitation),$1.18 ,10.67 oz
"Cheese, block (regular)",$2.58 ,8 oz
"Cheese, Boursin",$2.98 ,5.2 oz
"Cheese, Brie 1",$4.48 ,7 oz
"Cheese, Brie 2",$15.98 ,per lb
"Cheese, Parmesan, jar",,
"Cheese, shredded, Mexican style",$8.68 ,32 oz
"Cheese, shredded, Mozarella",$2.24 ,8 oz
"Cheese, sliced, deli",$3.98 ,8 oz
"Cheese, sliced, regular",$2.28 ,8 oz
"Cheese, wedge, deli",$6.98 ,per lb
"Chicken Breasts, frozen",$6.98 ,3 lbs
"Chicken Nuggets, frozen",$4.47 ,29 oz
"Chicken Tenderloins, frozen",$6.98 ,3 lbs
"Chips, potato chips",$2.68 ,10.5 oz
Chocolate Chip Cookie Dough,$2.18 ,16.5 oz
Cocoa Rice Cereal,$2.00 ,13.75 oz
Coconut Milk,$1.58 ,13.5 fl oz
Coffee,$4.98 ,12 oz
"Cold Cuts, ham or chicken",$3.98 ,1 lb
"Cold Cuts, turkey variety",N/A,
"Corn Flakes, regular",$1.88 ,18 oz
"Corn Flakes, sugar frosted",$2.48 ,23 oz
Cottage Cheese,$2.78 ,24 oz
Cream Cheese,$1.98 ,8 OZ
"Cream, heavy whipping",$2.18 ,8 fl oz
Croissants,$3.00 ,12 oz
,,
"Eggs, cage free",$3.18 ,dozen
"Eggs, regular",$1.88 ,dozen
"Fish 1, frozen (flounder)",$5.27 ,2 lbs
"Fish 2, frozen (tilapia)",$4.48 ,16 oz
"Fish 3, frozen",$4.94 ,16 oz
(mahi mahi and/or other),,
"Flour, all purpose",$1.96 ,5 lbs
"Flour, self rising",$2.48 ,5 lbs
"French Fries, frozen",$1.97 ,32 oz
"Fruit 1, frozen (strawberries)",$2.33 ,16 oz
"Fruit 2, frozen",$3.23 ,12 oz
(cherries and/or other),,
"Granola Bars, high fiber",$2.98 ,7 oz
"Granola Bars, regular",$2.18 ,6.7 oz
"Grapes, red",$1.88 ,per lb
"Green Beans, canned",$0.68 ,14.5 oz
"Ground Beef (chuck, 80/20)",$3.28 ,1 lb
"Ground Beef (sirloin, 90/10)",$4.18 ,per lb
"Ground Beef, frozen",$2.88 ,1 lb
Ground Turkey,$2.33 ,16 oz
"Ground Turkey, frozen",$2.88 ,1 lb
"Ham, boneless",$3.38 ,per lb
Honey,$4.98 ,24 oz
Honey Crunch Oats,$1.98 ,18 oz
Hot Dog Buns,$1.25 ,12 oz
"Hot Dogs, beef",,
"Ice Cream, premium",$3.38 ,1.5 qt
"Ice Cream, simple",$1.98 ,1.75 qt
"Jalope_o Peppers, canned",$0.86 ,13.4 oz
Ketchup,$1.24 ,35 oz
Kielbasa,$2.78 ,16 oz
Lemons,$1.98 ,2 lbs
"Lettuce, iceberg",$1.18 ,head
"Mandarin Oranges, canned",$0.78 ,11 oz
Margarine/Spread,$1.48 ,15 oz
Mayonnaise,$2.92 ,32 fl oz
Milk,$2.98 ,1 gal
Milk Chocolate Bar,$2.23 ,4.4 oz
"Milk, organic",$3.38 ,2 qt
"Mushrooms, Button, whole",$3.48 ,16 oz
"Mushrooms, stems/pieces",$0.98 ,4 oz
"Mustard, dijon",$2.92 ,10 oz
"Mustard, yellow",$0.84 ,16 oz
Nutella,$3.28 ,13 oz
Oat Meal,$1.68 ,15 oz
"Oil, Canola, 100% pure",$3.58 ,48 fl oz
"Oil, Olive, 100% pure",$4.88 ,25.5 fl oz
"Oil, Olive, extra virgin",$5.58 ,17 fl oz
"Onions, yellow",$3.48 ,3 lbs
"Orange Juice, not from concentrate",$2.12 ,2 qt
Oranges,$4.98 ,4 lbs
"Pancetta or Ham, diced",$3.18 ,4 oz
Paper Towles,$5.97 ,8 rolls
,,
"Pasta, Egg Noodles",$1.68 ,16 oz
"Pasta, Ellbow Maccaroni",$2.82 ,48 oz
"Pasta, Penne Rigate",$1.08 ,13.25
"Pasta, Rotini/Rotelle/Fusilli",$1.08 ,13.25
"Pasta, Spaghetti",$1.88 ,32 oz
Peanut Butter,$2.56 ,18 oz
"Peanuts, roasted",$2.88 ,16 oz
Pears,$1.77 ,per lb
"Pepper, black, ground",$2.82 ,4 oz
Pizza Dough,$2.24 ,13.8 oz
"Pizza, frozen (premium)",$4.25 ,28.3 oz
"Pizza, frozen (simple)",$3.33 ,20 oz
Plastic Wrap,$1.53 ,200 sq ft
"Pork Tenderloin, small",$3.98 ,per lb
"Potatoes, gold (Yukon)",$4.47 ,5 lbs
"Potatoes, red",$2.97 ,5 lbs
"Potatoes, RussetØ",$4.47 ,5 lbs
"Preserves, strawberry",$2.08 ,18 oz
Pretzels,$2.98 ,16 oz
Red Cabbage,,
"Ribs, Baby Back (pork, unseasoned)",$3.98 ,per lb
"Ribs, Spare Back (pork, unseasoned)",$2.98 ,per lb
"Rice, instant, white",$2.48 ,28 oz
"Rice, regular",$1.28 ,2 lbs
Salad Dressing,$1.66 ,16 fl oz
"Salami, sliced",$2.48 ,4.5 oz
"Salami, whole (1)",$3.98 ,7 oz
"Salami, whole (2)",N/A,
"Salsa, medium",$1.98 ,24 oz
"Salt, iodized",$0.72 ,26 oz
"Soda, bottle",$1.38 ,2 L
"Soda, bottle (Coke product)",$1.38 ,2 L
"Soda, can",$3.98 ,12 pack
"Soda, can (Coke product)",$3.98 ,12 pack
"Soup, Chicken Noodle, condensed",$0.64 ,10.5 oz
"Soup, Chicken Noodle, regular",$1.48 ,18.5 oz
"Soup, organic",$1.98 ,14.5 oz
"Soup, Tomato, condensed",$0.64 ,10.75 oz
"Soup, Tomato, regular",$1.48 ,19 oz
Sour Cream,$1.58 ,16 oz
Spaghetti Sauce,$1.33 ,26 oz
"Sugar, brown",$1.88 ,32 oz
"Sugar, powdered",$1.88 ,32 oz
"Sugar, white",$2.88 ,5 lbs
"Syrup, breakfast",$1.98 ,24 fl oz
"Tea, green, bags",$2.18 ,0.91 oz
Tomato Paste,$0.44 ,6 oz
Tomato Sauce,$0.34 ,8 oz
"Tomatoes, slicer",$1.74 ,per lb
"Tuna, chunky, in water",$0.64 ,5 oz
"Tuna, solid, in water",$1.12 ,5 oz
"Vanilla Extract, pure (not imitation)",,2 fl oz
"Veggies 1, frozen (peas)",$0.98 ,16 oz
"Veggies 2, frozen (other)",$1.28 ,14 oz
"Waffles, frozen",$1.58 ,9.9 oz
"Water, regular/drinking",$3.98 ,14 L
"Water, Sparkling/Mineral",$1.50 ,750 ml
"White Bread/Toast, enriched",$2.18 ,20 oz
"Wine, table, Cabernet",$2.97 ,750 ml
"Wine, table, Chardonnay",$2.97 ,750 ml
"Wine, table, White Zinfandel",$2.97 ,750 ml
"Yoghurt, Dannon (etc.)",$2.18 ,16 oz
"Yogurt, Fage, 2%, plain",$1.27 ,7 oz
"Yogurt, Fage, w/ flavor",$1.27 ,5.3 oz
"Yogurt, flavored, cup",$0.33 ,6 oz
"Yogurt, greek style, plain",$4.88 ,16 oz
"Yogurt, plain",$2.18 ,32 oz
